Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2020,,Calaveras,,URBANIZATION,0.0601,,,,,
,2020,,Colusa,,URBANIZATION,0.1645,,,,,
,2020,,Contra Costa,,URBANIZATION,8.4554,,,,,
,2020,,Del Norte,,URBANIZATION,0.0824,,,,,
,2020,,El Dorado,,URBANIZATION,0.8286,,,,,
,2020,,Fresno,,URBANIZATION,6.4886,,,,,
,2020,,Glenn,,URBANIZATION,0.1681,,,,,
,2020,,Humboldt,,URBANIZATION,0.395,,,,,
,2020,,Imperial,,URBANIZATION,2.1178,,,,,
,2020,,Inyo,,URBANIZATION,0.065,,,,,
,2020,,Kern,,URBANIZATION,8.882,,,,,
,2020,,Kings,,URBANIZATION,0.8947,,,,,
,2020,,Lake,,URBANIZATION,0.664,,,,,
,2020,,Lassen,,URBANIZATION,0.0135,,,,,
,2020,,Los Angeles,,URBANIZATION,16.2715,,,,,
,2020,,Madera,,URBANIZATION,0.9467,,,,,
,2020,,Marin,,URBANIZATION,0.5702,,,,,
,2020,,Mariposa,,URBANIZATION,0.0506,,,,,
,2020,,Mendocino,,URBANIZATION,0.2728,,,,,
,2020,,Merced,,URBANIZATION,1.9133,,,,,
,2020,,Modoc,,URBANIZATION,0.0183,,,,,
,2020,,Mono,,URBANIZATION,0.0393,,,,,
,2020,,Monterey,,URBANIZATION,3.0591,,,,,
,2020,,Napa,,URBANIZATION,1.0531,,,,,
,2020,,Nevada,,URBANIZATION,0.1599,,,,,
,2020,,Orange,,URBANIZATION,11.2573,,,,,
,2020,,Placer,,URBANIZATION,3.7633,,,,,
,2020,,Plumas,,URBANIZATION,0,,,,,
,2020,,Riverside,,URBANIZATION,29.2864,,,,,
,2020,,Sacramento,,URBANIZATION,10.0851,,,,,
,2020,,San Benito,,URBANIZATION,0.6691,,,,,
,2020,,San Bernardino,,URBANIZATION,19.6316,,,,,
,2020,,San Diego,,URBANIZATION,20.0266,,,,,
,2020,,San Francisco,,URBANIZATION,1.5157,,,,,
,2020,,San Joaquin,,URBANIZATION,6.9948,,,,,
,2020,,San Luis Obispo,,URBANIZATION,2.8752,,,,,
,2020,,San Mateo,,URBANIZATION,2.6319,,,,,
,2020,,Santa Barbara,,URBANIZATION,2.5282,,,,,
,2020,,Santa Clara,,URBANIZATION,7.8489,,,,,
,2020,,Santa Cruz,,URBANIZATION,1.7862,,,,,
,2020,,Shasta,,URBANIZATION,0.6912,,,,,
,2020,,Sierra Valley,,URBANIZATION,0,,,,,
,2020,,Siskiyou,,URBANIZATION,0.0366,,,,,
,2020,,Solano,,URBANIZATION,2.2409,,,,,
,2020,,Sonoma,,URBANIZATION,2.7166,,,,,
,2020,,Stanislaus,,URBANIZATION,3.4853,,,,,
,2020,,Sutter,,URBANIZATION,0.5756,,,,,
,2020,,Tehama,,URBANIZATION,0.245,,,,,
,2020,,Trinity,,URBANIZATION,0.0379,,,,,
